canonicalName,hairs,spines,clonal_cat,annual_perennial_cat,woody_herbaceous_cat,REFERENCE,NOTES
Parthenocissus tricuspidata,0,0,1,Perennial,,https://www.nzpcn.org.nz/flora/species/parthenocissus-tricuspidata/,
Pelargonium capitatum,1,0,1,Perennial,,Plantnet,
Pennisetum setaceum,0,0,0,Perennial,,https://weeds.brisbane.qld.gov.au/weeds/african-fountain-grass,
Persicaria orientalis,1,0,0,Perennial,,Plantnet,
Persicaria perfoliata,0,1,0,Annual,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.109155,
Phragmites australis,0,0,1,Perennial,,https://vro.agriculture.vic.gov.au/dpi/vro/vrosite.nsf/pages/sip_common_reed,
Pinus contorta,0,0,0,Perennial,,https://www.conifers.org/pi/Pinus_contorta.php,
Pinus ponderosa,0,0,0,Perennial,,https://www.conifers.org/pi/Pinus_ponderosa.php,
Pinus radiata,0,0,0,Perennial,,https://keyserver.lucidcentral.org/weeds/data/media/Html/pinus_radiata.htm,
Pittosporum undulatum,0,0,1,Perennial,,"https://keyserver.lucidcentral.org/weeds/data/media/Html/pittosporum_undulatum.htm#:~:text=This%20species%20reproduces%20by%20seed,spread%20in%20dumped%20garden%20waste.",suckers
Plantago major,1,0,0,Perennial,,Plantnet,
Poa annua,1,0,1,Perennial,,Plantnet,
Polygala myrtifolia,0,0,0,Perennial,Woody,https://keyserver.lucidcentral.org/weeds/data/media/Html/polygala_myrtifolia.htm,
Potentilla recta,1,0,0,Perennial,Herb,https://wiki.bugwood.org/Potentilla_recta,
Prunus serotina,0,0,1,Perennial,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.44360,
Pseudotsuga menziesii,0,0,0,Perennial,,https://www.conifers.org/pi/Pseudotsuga_menziesii.php,
Quercus alba,0,0,1,Perennial,,https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/quercus/alba.htm,
Quercus rubra,0,0,1,Perennial,Woody,"https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/quercus/rubra.htm#:~:text=Moderate%20to%20fast%20growing%2C%20this,good%20form%20and%20dense%20foliage.",
Quercus velutina,0,0,1,Perennial,,"https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/quercus/velutina.htm#:~:text=Quercus%20velutina%20Lam&text=Black%20oak%20(Quercus%20velutina)%20is,yellowbark%20oak%2C%20or%20smoothbark%20oak.",
Quercus virginiana,0,0,1,Perennial,,"https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/quercus/virginiana.htm#:~:text=Quercus%20virginiana%20Mill&text=Live%20oak%20(Quercus%20virginiana)%2C,Woods%20or%20moist%20rich%20woods.",
Robinia pseudoacacia,1,1,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/BlackLocust,
Rorippa austriaca,0,0,1,Perennial,,https://www.nwcb.wa.gov/weeds/austrian-fieldcress#:~:text=Austrian%20fieldcress%20reproduces%20by%20seed%2C%20creeping%20roots%20and%20from%20rootstalks.,
Rosa multiflora,0,1,1,Perennial,,https://www.invasive.org/alien/pubs/midatlantic/romu.htm,
Rubus phoenicolasius,0,1,1,Perennial,,https://www.nzpcn.org.nz/flora/species/rubus-phoenicolasius/,
